postcode,locality,state,sa3name,sa4name
5422,DAWSON,SA,Mid North,Barossa - Yorke - Mid North
5422,ERSKINE,SA,Mid North,Barossa - Yorke - Mid North
5422,HARDY,SA,Mid North,Barossa - Yorke - Mid North
5422,MANNANARIE,SA,Mid North,Barossa - Yorke - Mid North
5422,MINVALARA,SA,Mid North,Barossa - Yorke - Mid North
5422,OODLA WIRRA,SA,Mid North,Barossa - Yorke - Mid North
5422,PARATOO,SA,Mid North,Barossa - Yorke - Mid North
5422,PARNAROO,SA,Mid North,Barossa - Yorke - Mid North
5422,PETERBOROUGH,SA,Mid North,Barossa - Yorke - Mid North
5422,SUNNYBRAE,SA,Mid North,Barossa - Yorke - Mid North
5422,UCOLTA,SA,Mid North,Barossa - Yorke - Mid North
5422,WAROONEE,SA,Mid North,Barossa - Yorke - Mid North
5422,YATINA,SA,Mid North,Barossa - Yorke - Mid North
5431,AMYTON,SA,Mid North,Barossa - Yorke - Mid North
5431,BLACK ROCK,SA,Mid North,Barossa - Yorke - Mid North
5431,COOMOOROO,SA,Mid North,Barossa - Yorke - Mid North
5431,EURELIA,SA,Mid North,Barossa - Yorke - Mid North
5431,HAMMOND,SA,Mid North,Barossa - Yorke - Mid North
5431,JOHNBURG,SA,Mid North,Barossa - Yorke - Mid North
5431,JOHNBURGH,SA,Mid North,Barossa - Yorke - Mid North
5431,MINBURRA,SA,Mid North,Barossa - Yorke - Mid North
5431,MINBURRA PLAIN,SA,Mid North,Barossa - Yorke - Mid North
5431,MINBURRA STATION,SA,Mid North,Barossa - Yorke - Mid North
5431,MORCHARD,SA,Mid North,Barossa - Yorke - Mid North
5431,NORTH HILLS,SA,Mid North,Barossa - Yorke - Mid North
5431,ORROROO,SA,Mid North,Barossa - Yorke - Mid North
5431,PEKINA,SA,Mid North,Barossa - Yorke - Mid North
5431,TARCOWIE,SA,Mid North,Barossa - Yorke - Mid North
5431,WALLAWAY,SA,Mid North,Barossa - Yorke - Mid North
5431,WALLOWAY,SA,Mid North,Barossa - Yorke - Mid North
5431,WILLOWIE,SA,Mid North,Barossa - Yorke - Mid North
5431,YALPARA,SA,Mid North,Barossa - Yorke - Mid North
5432,BARATTA,SA,Outback - North and East,South Australia - Outback
5432,BELTON,SA,Outback - North and East,South Australia - Outback
5432,BIBLIANDO,SA,Outback - North and East,South Australia - Outback
5432,CARRIETON,SA,Outback - North and East,South Australia - Outback
5432,CRADOCK,SA,Outback - North and East,South Australia - Outback
5432,HOLOWILIENA,SA,Outback - North and East,South Australia - Outback
5432,HOLOWILIENA SOUTH,SA,Outback - North and East,South Australia - Outback
5432,MOOCKRA,SA,Outback - North and East,South Australia - Outback
5432,THREE CREEKS,SA,Outback - North and East,South Australia - Outback
5432,WILCOWIE,SA,Outback - North and East,South Australia - Outback
5432,WILLIPPA,SA,Outback - North and East,South Australia - Outback
5432,WITCHITIE,SA,Outback - North and East,South Australia - Outback
5432,YANYARRIE,SA,Outback - North and East,South Australia - Outback
5433,BRUCE,SA,Outback - North and East,South Australia - Outback
5433,QUORN,SA,Outback - North and East,South Australia - Outback
5433,SALTIA,SA,Outback - North and East,South Australia - Outback
5433,STEPHENSTON,SA,Outback - North and East,South Australia - Outback
5433,WILLOCHRA,SA,Outback - North and East,South Australia - Outback
5433,YARRAH,SA,Outback - North and East,South Australia - Outback
5434,BARNDIOOTA,SA,Outback - North and East,South Australia - Outback
5434,BLACK HILL STATION,SA,Outback - North and East,South Australia - Outback
5434,FLINDERS RANGES,SA,Outback - North and East,South Australia - Outback
5434,HAWKER,SA,Outback - North and East,South Australia - Outback
5434,KANYAKA,SA,Outback - North and East,South Australia - Outback
5434,MOUNT HAVELOCK,SA,Outback - North and East,South Australia - Outback
5434,PRELINNA,SA,Outback - North and East,South Australia - Outback
5434,SHAGGY RIDGE,SA,Outback - North and East,South Australia - Outback
5434,UPALINNA,SA,Outback - North and East,South Australia - Outback
5434,WILLOW SPRINGS,SA,Outback - North and East,South Australia - Outback
5434,WORUMBA,SA,Outback - North and East,South Australia - Outback
5440,ABMINGA STATION,SA,Murray and Mallee,South Australia - South East
5440,BENDA,SA,Murray and Mallee,South Australia - South East
5440,BILLEROO WEST,SA,Murray and Mallee,South Australia - South East
5440,BIMBOWRIE,SA,Murray and Mallee,South Australia - South East
5440,BINDARRAH,SA,Murray and Mallee,South Australia - South East
5440,BOOLCOOMATTA,SA,Murray and Mallee,South Australia - South East
5440,BULLOO CREEK,SA,Murray and Mallee,South Australia - South East
