Location,Building Type,Max Price Per Room,SDA Design Category,Vacancy,Has Fire Sprinklers,Has Breakout Room,Onsite Overnight Assistance
Hawthorn VIC 3122,"Legacy Stock, 6+ residents",11307.66,Fully Accessible,2,1,0,1
Highton VIC 3216,"Group home, 5 residents",6330.52,Improved Liveability,3,1,0,1
Reservoir VIC 3073,"Villa / Duplex / Townhouse, 3 residents",11130.54,Fully Accessible,1,1,0,1
Doncaster East VIC 3109,"Group home, 5 residents",13461.12,Fully Accessible,1,1,0,1
Chadstone VIC 3148,"Group home, 4 residents",14276.83,Fully Accessible,1,1,0,1
Avondale Heights VIC 3034,"House, 3 residents",13052.55,Fully Accessible,1,1,0,1
Bentleigh VIC 3204,"Group home, 5 residents",13697.28,Fully Accessible,1,1,0,1
Mitcham VIC 3132,"Group home, 5 residents",10627.2,Fully Accessible,2,1,0,1
Clayton South VIC 3169,"Group home, 4 residents",14276.83,Fully Accessible,1,1,0,1
Clayton South VIC 3169,"Villa / Duplex / Townhouse, 3 residents",21110.88,High Physical Support,2,1,0,0
Chadstone VIC 3148,"Group home, 5 residents",12162.24,Fully Accessible,1,1,0,1
Clayton VIC 3168,"Group home, 4 residents",26440.1,High Physical Support,3,1,0,1
Lakes Entrance VIC 3909,"Villa / Duplex / Townhouse, 1 residents",12722.9,Improved Liveability,1,1,0,0
Preston VIC 3072,"Group home, 5 residents",11099.52,Fully Accessible,1,1,0,1
Cheltenham VIC 3192,"Villa / Duplex / Townhouse, 3 residents",12692.72,Fully Accessible,1,1,0,0
Frankston VIC 3199,"Villa / Duplex / Townhouse, 1 residents",23628.51,Fully Accessible,1,1,0,1
Mitcham VIC 3132,"House, 3 residents",11985.76,Fully Accessible,1,1,0,0
Eumemmerring VIC 3177,"Villa / Duplex / Townhouse, 1 residents",29523.9,Robust,1,1,0,0
Notting Hill VIC 3168,"Group home, 4 residents",26440.1,High Physical Support,1,1,0,1
Bundoora VIC 3083,"Group home, 5 residents",11099.52,Fully Accessible,1,1,0,1
Vermont VIC 3133,"Group home, 5 residents",10627.2,Fully Accessible,1,1,0,1
Blackburn North VIC 3130,"Group home, 5 residents",13461.12,Fully Accessible,2,1,0,1
Mooroolbark VIC 3138,"Villa / Duplex / Townhouse, 3 residents",13951.8,Robust,1,1,0,1
Clayton VIC 3168,"Group home, 5 residents",23288.3,High Physical Support,1,1,0,1
Noble Park VIC 3174,"Group home, 5 residents",12162.24,Fully Accessible,3,1,0,1
Mulgrave VIC 3170,"Group home, 5 residents",23288.3,High Physical Support,1,1,0,1
Tullamarine VIC 3043,"Group home, 4 residents",12752.12,Fully Accessible,1,1,0,1
Preston VIC 3072,"Group home, 5 residents",11099.52,Fully Accessible,1,1,0,1
Cranbourne VIC 3977,"Group home, 5 residents",12162.24,Fully Accessible,2,1,0,1
Bellfield VIC 3081,"Group home, 5 residents",11099.52,Fully Accessible,1,1,0,1
Mitcham VIC 3132,"Group home, 5 residents",10627.2,Fully Accessible,1,1,0,1
Wendouree VIC 3355,"Group home, 5 residents",14237.86,Robust,1,1,1,1
Mount Waverley VIC 3149,"Group home, 4 residents",14276.83,Fully Accessible,1,1,0,1
Ringwood East VIC 3135,"Group home, 5 residents",10627.2,Fully Accessible,1,1,0,1
Airport West VIC 3042,"Group home, 5 residents",20575.1,High Physical Support,1,1,0,1
Bentleigh East VIC 3165,"Group home, 5 residents",26227.6,High Physical Support,1,1,0,1
Warragul VIC 3820,"House, 2 residents",8720.68,Improved Liveability,2,1,0,1
Berwick VIC 3806,"Group home, 5 residents",12162.24,Fully Accessible,2,1,0,1
Clayton VIC 3168,"Group home, 5 residents",23288.3,High Physical Support,1,1,0,1
Preston VIC 3072,"Group home, 5 residents",11099.52,Fully Accessible,1,1,0,1
Airport West VIC 3042,"Group home, 5 residents",20575.1,High Physical Support,1,1,0,1
Sunshine West VIC 3020,"Group home, 5 residents",10745.28,Fully Accessible,1,1,0,1
Chelsea VIC 3196,"Group home, 4 residents",29263.8,High Physical Support,2,1,0,1
Brookfield VIC 3338,"Group home, 5 residents",20575.1,High Physical Support,1,1,0,1
Clayton South VIC 3169,"Group home, 5 residents",23288.3,High Physical Support,1,1,0,1
Springvale VIC 3171,"Group home, 4 residents",18006.46,Robust,2,1,0,1
Greensborough VIC 3088,"Group home, 5 residents",21253.4,High Physical Support,2,1,0,1
Narre Warren North VIC 3804,"Group home, 5 residents",15481.93,Robust,1,1,0,1
Hamlyn Heights VIC 3215,"Group home, 5 residents",20801.2,High Physical Support,1,1,0,1
Croydon VIC 3136,"Group home, 5 residents",13527.9,Robust,2,1,0,1
Moe VIC 3825,"Group home, 5 residents",12926.66,Robust,1,1,0,1
Glenroy VIC 3046,"Group home, 5 residents",13678.21,Robust,1,1,0,1
Carrum Downs VIC 3201,"Group home, 4 residents",12474.9,Fully Accessible,1,1,0,1
Stawell VIC 3380,"Group home, 5 residents",6055.28,Improved Liveability,2,1,0,1
Kew VIC 3101,"Group home, 5 residents",25775.4,High Physical Support,1,1,0,1
Kew VIC 3101,"Group home, 5 residents",25775.4,High Physical Support,2,1,0,1
Kew VIC 3101,"Group home, 5 residents",13461.12,Fully Accessible,1,1,0,1
Kew VIC 3101,"Group home, 5 residents",25775.4,High Physical Support,2,1,0,1
Kew VIC 3101,"Group home, 5 residents",17135.34,Robust,2,1,0,1
Kew VIC 3101,"Group home, 5 residents",17135.34,Robust,2,1,0,1
Kew VIC 3101,"Group home, 4 residents",15524.32,Fully Accessible,1,1,0,1
Kew VIC 3101,"Group home, 5 residents",13461.12,Fully Accessible,1,1,0,1
Kew VIC 3101,"Group home, 5 residents",17135.34,Robust,1,1,0,1
Mont Albert North VIC 3129,"House, 3 residents",9141,Improved Liveability,1,1,0,1
Melton VIC 3337,"Group home, 5 residents",10745.28,Fully Accessible,2,1,0,1
Reservoir VIC 3073,"Group home, 5 residents",21253.4,High Physical Support,1,1,0,1
Traralgon VIC 3844,"Group home, 5 residents",12926.66,Robust,1,1,0,1
Grovedale VIC 3216,"Group home, 5 residents",20801.2,High Physical Support,2,1,0,1
Echuca VIC 3564,"Group home, 5 residents",20122.9,High Physical Support,1,1,0,1
Hastings VIC 3915,"Group home, 5 residents",13377.59,Robust,1,1,0,1
Ararat VIC 3377,"Legacy Stock, 6+ residents",17473.28,High Physical Support,1,1,0,1
Craigieburn VIC 3064,"Group home, 4 residents",16083.44,Robust,2,1,0,1
Bendigo VIC 3550,"Group home, 5 residents",20575.1,High Physical Support,2,1,0,1
Horsham VIC 3400,"Group home, 5 residents",19896.8,High Physical Support,1,1,0,1
Cranbourne VIC 3977,"Group home, 5 residents",12162.24,Fully Accessible,1,1,0,1
Sunbury VIC 3429,"Group home, 5 residents",13678.21,Robust,2,1,0,1
Rochester VIC 3561,"Group home, 5 residents",20122.9,High Physical Support,1,1,0,1
Hadfield VIC 3046,"Group home, 5 residents",13678.21,Robust,1,1,0,1
Delacombe VIC 3356,"Group home, 5 residents",6261.71,Improved Liveability,1,1,0,1
Werribee VIC 3030,"Group home, 5 residents",20575.1,High Physical Support,1,1,0,1
Croydon VIC 3136,"Villa / Duplex / Townhouse, 3 residents",13951.8,Robust,1,1,0,1
Burwood VIC 3151,"Group home, 4 residents",20453.44,Robust,2,1,1,1
Grovedale VIC 3216,"Group home, 5 residents",10863.36,Fully Accessible,1,1,0,1
Sunshine North VIC 3020,"Villa / Duplex / Townhouse, 3 residents",9957.22,Fully Accessible,1,1,0,0
Strathdale VIC 3350,"Group home, 5 residents",37091.04,High Physical Support,2,1,0,1
North Bendigo VIC 3550,"Group home, 4 residents",44524.2,High Physical Support,1,1,0,1
Bundoora VIC 3083,"Group home, 5 residents",11099.52,Fully Accessible,1,1,0,1
Endeavour Hills VIC 3802,"Villa / Duplex / Townhouse, 2 residents",8738.52,Improved Liveability,1,1,0,1
Norlane VIC 3214,"Group home, 5 residents",40623.52,High Physical Support,2,1,0,1
Leopold VIC 3224,"Group home, 5 residents",40623.52,High Physical Support,2,1,0,1
Colac VIC 3250,"Group home, 5 residents",37091.04,High Physical Support,1,1,0,1
Colac VIC 3250,"Group home, 4 residents",44248.68,Robust,1,1,1,1
Moorabbin VIC 3189,"Villa / Duplex / Townhouse, 1 residents",74291.13,Robust,1,1,0,0
Mornington VIC 3931,"Villa / Duplex / Townhouse, 1 residents",69131.55,High Physical Support,1,1,0,0
Colac VIC 3250,"Villa / Duplex / Townhouse, 3 residents",32557.88,Robust,1,1,0,1
Mentone VIC 3194,"Villa / Duplex / Townhouse, 3 residents",12692.72,Fully Accessible,1,1,0,0
Lara VIC 3212,"House, 3 residents",16846.68,Robust,1,1,0,1
Heidelberg Heights VIC 3081,"Villa / Duplex / Townhouse, 3 residents",26995.5,Improved Liveability,2,1,0,0
Wangaratta VIC 3677,"Villa / Duplex / Townhouse, 3 residents",19281.85,High Physical Support,2,1,0,1
Reservoir VIC 3073,"House, 3 residents",18002.5,Robust,1,1,1,1
Thomson VIC 3219,"Villa / Duplex / Townhouse, 1 residents",63419.15,Fully Accessible,1,1,0,0
Reservoir VIC 3073,"Villa / Duplex / Townhouse, 2 residents",39540.68,High Physical Support,2,1,0,0
Thomastown VIC 3074,"Villa / Duplex / Townhouse, 2 residents",41716.48,Robust,2,1,0,1
Greensborough VIC 3088,"Group home, 5 residents",6468.14,Improved Liveability,1,1,0,1
Ferntree Gully VIC 3156,"Group home, 5 residents",5497.2,Basic,1,1,0,0
Mooroolbark VIC 3138,"Group home, 5 residents",5497.2,Basic,2,1,0,0
Seaholme VIC 3018,"Group home, 5 residents",6261.71,Improved Liveability,1,1,0,1
Brunswick West VIC 3056,"Group home, 5 residents",8738.87,Improved Liveability,1,1,0,1
Bundoora VIC 3083,"Group home, 5 residents",5741.52,Basic,1,1,0,0
Mount Martha VIC 3934,"Group home, 4 residents",6843.6,Basic,1,1,0,0
Miners Rest VIC 3352,"Group home, 5 residents",6261.71,Improved Liveability,1,1,0,1
Brown Hill VIC 3350,"Villa / Duplex / Townhouse, 1 residents",13264.3,Improved Liveability,1,1,0,0
Mont Albert North VIC 3129,"Group home, 5 residents",7844.34,Improved Liveability,1,1,0,1
Chelsea VIC 3196,"Group home, 5 residents",7981.96,Improved Liveability,1,1,0,1
Bellfield VIC 3081,"Group home, 5 residents",5741.52,Basic,1,1,0,0
Sunbury VIC 3429,"Group home, 4 residents",7889.92,Improved Liveability,1,1,0,1
Mount Waverley VIC 3149,"Group home, 5 residents",7087.43,Improved Liveability,1,1,0,1
Wangaratta VIC 3676,"Group home, 5 residents",5436.12,Basic,2,1,0,0
Brunswick VIC 3052,"Apartment, 1 bedroom, 1 resident",108905.4,High Physical Support,1,1,0,1
Reservoir VIC 3073,"Group home, 4 residents",47174.45,High Physical Support,1,1,0,1
Reservoir VIC 3073,"House, 3 residents",55590.3,High Physical Support,1,1,0,1
Reservoir VIC 3073,"Villa / Duplex / Townhouse, 1 residents",69131.55,High Physical Support,1,1,0,0
Melton South VIC 3338,"House, 2 residents",90275.96,High Physical Support,2,1,0,1
Risdon Vale TAS 7016,"House, 2 residents",79938.9,High Physical Support,2,0,0,1
Clyde VIC 3978,"House, 2 residents",68344.96,Improved Liveability,1,0,0,1
Morphett Vale SA 5162,"House, 2 residents",87932.79,High Physical Support,2,0,0,1
Tarneit VIC 3029,"House, 2 residents",90275.96,High Physical Support,2,1,0,1
Tarneit VIC 3029,"House, 2 residents",90275.96,High Physical Support,2,1,0,1
Clyde North VIC 3978,"House, 2 residents",85622.56,High Physical Support,2,1,0,1
Tarneit VIC 3029,"House, 2 residents",90275.96,High Physical Support,2,1,0,1
Beveridge VIC 3753,"House, 2 residents",80163.9,Robust,1,0,1,1
Manor Lakes VIC 3024,"House, 2 residents",86398.87,Robust,2,0,1,1
Bonshaw VIC 3352,"House, 2 residents",74819.64,Robust,1,0,1,1
Wendouree VIC 3355,"House, 2 residents",74819.64,Robust,2,0,1,1
Alfredton VIC 3350,"House, 2 residents",78177.12,High Physical Support,2,1,0,1
Bonshaw VIC 3352,"House, 2 residents",70214.76,Robust,1,0,0,1
Gracemere QLD 4702,"House, 2 residents",90852.42,Robust,2,0,1,1
Frankston VIC 3199,"Group home, 5 residents",20122.9,High Physical Support,1,1,0,1
Frankston VIC 3199,"Group home, 4 residents",47174.45,High Physical Support,1,1,0,1
Ringwood VIC 3134,"Apartment, 1 bedroom, 1 resident",103566.9,High Physical Support,1,1,0,1
Ballarat VIC 3350,"Villa / Duplex / Townhouse, 1 residents",54686.05,Improved Liveability,1,0,0,1
Lucas VIC 3350,"House, 3 residents",43012.2,Improved Liveability,1,0,0,1
Alfredton VIC 3350,"House, 2 residents",66176.04,Improved Liveability,2,0,0,1
Sans Souci NSW 2219,"Apartment, 2 bedroom, 1 resident",110907.66,High Physical Support,1,0,0,1
Rockdale NSW 2216,"Apartment, 2 bedroom, 1 resident",113140.44,High Physical Support,1,1,0,1
Rockdale NSW 2216,"Apartment, 1 bedroom, 1 resident",97870.01,Improved Liveability,1,1,0,1
Strathfield South NSW 2136,"Apartment, 2 bedroom, 1 resident",110907.66,High Physical Support,1,0,0,1
Bowden SA 5007,"Apartment, 2 bedroom, 1 resident",120904.98,High Physical Support,1,1,0,1
Bowden SA 5007,"Apartment, 2 bedroom, 1 resident",120904.98,High Physical Support,1,1,0,1
Bowden SA 5007,"Apartment, 2 bedroom, 1 resident",120904.98,High Physical Support,1,1,0,1
Braddon ACT 2612,"Apartment, 2 bedroom, 1 resident",109812.78,High Physical Support,1,1,0,1
Braddon ACT 2612,"Apartment, 2 bedroom, 1 resident",109812.78,High Physical Support,1,1,0,1
Windsor VIC 3181,"Apartment, 2 bedroom, 1 resident",114249.66,High Physical Support,1,1,0,1
Thornleigh NSW 2120,"Apartment, 2 bedroom, 1 resident",115358.88,High Physical Support,1,1,0,1
Blacktown NSW 2148,"Apartment, 2 bedroom, 1 resident",110922,High Physical Support,1,1,0,1
Blacktown NSW 2148,"Apartment, 2 bedroom, 1 resident",110922,High Physical Support,3,1,0,1
Moonee Ponds VIC 3039,"Apartment, 2 bedroom, 1 resident",114249.66,High Physical Support,1,1,0,1
Moonee Ponds VIC 3039,"Apartment, 2 bedroom, 1 resident",114249.66,High Physical Support,1,1,0,1
Moonee Ponds VIC 3039,"Apartment, 2 bedroom, 1 resident",114249.66,High Physical Support,1,1,0,1
Moonee Ponds VIC 3039,"Apartment, 1 bedroom, 1 resident",108905.4,High Physical Support,1,1,0,1
Moonee Ponds VIC 3039,"Apartment, 2 bedroom, 1 resident",114249.66,High Physical Support,1,1,0,1
Moonee Ponds VIC 3039,"Apartment, 2 bedroom, 1 resident",114249.66,High Physical Support,1,1,0,1
Kogarah NSW 2217,"Apartment, 2 bedroom, 1 resident",103457.58,Improved Liveability,1,1,0,1
Kogarah NSW 2217,"Apartment, 2 bedroom, 1 resident",113140.44,High Physical Support,1,1,0,1
Preston VIC 3072,"Apartment, 2 bedroom, 1 resident",100253.38,Fully Accessible,1,1,0,1
Mount Pleasant WA 6153,"Apartment, 2 bedroom, 1 resident",122014.2,High Physical Support,1,1,0,1
Mount Pleasant WA 6153,"Apartment, 2 bedroom, 1 resident",122014.2,High Physical Support,1,1,0,1
Mount Pleasant WA 6153,"Apartment, 2 bedroom, 1 resident",122014.2,High Physical Support,1,1,0,1
Castle Hill NSW 2154,"Apartment, 2 bedroom, 1 resident",115358.88,High Physical Support,1,1,0,1
Castle Hill NSW 2154,"Apartment, 2 bedroom, 1 resident",115358.88,High Physical Support,1,1,0,1
Subiaco WA 6008,"Apartment, 2 bedroom, 1 resident",119795.76,High Physical Support,1,1,0,1
Subiaco WA 6008,"Apartment, 2 bedroom, 1 resident",119795.76,High Physical Support,1,1,0,1
Subiaco WA 6008,"Apartment, 2 bedroom, 1 resident",119795.76,High Physical Support,1,1,0,1
Subiaco WA 6008,"Apartment, 2 bedroom, 1 resident",119795.76,High Physical Support,1,1,0,1
Subiaco WA 6008,"Apartment, 2 bedroom, 1 resident",119795.76,High Physical Support,1,1,0,1
Subiaco WA 6008,"Apartment, 2 bedroom, 1 resident",119795.76,High Physical Support,1,1,0,1
Box Hill VIC 3128,"Apartment, 2 bedroom, 1 resident",112031.22,High Physical Support,1,1,0,1
Box Hill VIC 3128,"Apartment, 2 bedroom, 1 resident",112031.22,High Physical Support,1,1,0,1
Box Hill VIC 3128,"Apartment, 2 bedroom, 1 resident",112031.22,High Physical Support,1,1,0,1
Box Hill VIC 3128,"Apartment, 2 bedroom, 1 resident",112031.22,High Physical Support,1,1,0,1
Box Hill VIC 3128,"Apartment, 2 bedroom, 1 resident",112031.22,High Physical Support,1,1,0,1
Box Hill VIC 3128,"Apartment, 2 bedroom, 1 resident",112031.22,High Physical Support,1,1,0,1
Box Hill VIC 3128,"Apartment, 2 bedroom, 1 resident",112031.22,High Physical Support,1,1,0,1
Box Hill VIC 3128,"Apartment, 2 bedroom, 1 resident",112031.22,High Physical Support,1,1,0,1
Box Hill VIC 3128,"Apartment, 2 bedroom, 1 resident",112031.22,High Physical Support,1,1,0,1
Morayfield QLD 4506,"House, 2 residents",78224.77,Robust,3,1,0,1
New Auckland QLD 4680,"Villa / Duplex / Townhouse, 1 residents",83284.52,High Physical Support,1,1,0,1
Moonee Ponds VIC 3039,"Apartment, 2 bedroom, 1 resident",99990.34,High Physical Support,1,1,0,0
Moonee Ponds VIC 3039,"Apartment, 2 bedroom, 1 resident",99990.34,High Physical Support,1,1,0,0
Moonee Ponds VIC 3039,"Apartment, 2 bedroom, 1 resident",114249.66,High Physical Support,1,1,0,1
Moonee Ponds VIC 3039,"Apartment, 2 bedroom, 1 resident",95593.27,High Physical Support,1,1,0,0
Moonee Ponds VIC 3039,"Apartment, 2 bedroom, 1 resident",114249.66,High Physical Support,1,1,0,1
Moonee Ponds VIC 3039,"Apartment, 2 bedroom, 1 resident",114249.66,High Physical Support,1,1,0,1
Blacktown NSW 2148,"Apartment, 1 bedroom, 1 resident",104817,High Physical Support,1,0,0,1
Blacktown NSW 2148,"Apartment, 1 bedroom, 1 resident",104817,High Physical Support,1,0,0,1
Gosford NSW 2250,"Apartment, 2 bedroom, 1 resident",116468.1,High Physical Support,1,1,0,1
Gosford NSW 2250,"Apartment, 2 bedroom, 1 resident",116468.1,High Physical Support,1,1,0,1
Gosford NSW 2250,"Apartment, 2 bedroom, 1 resident",116468.1,High Physical Support,1,1,0,1
Gosford NSW 2250,"Apartment, 2 bedroom, 1 resident",116468.1,High Physical Support,1,1,0,1
Gosford NSW 2250,"Apartment, 2 bedroom, 1 resident",116468.1,High Physical Support,1,1,0,1
Gosford NSW 2250,"Apartment, 2 bedroom, 1 resident",116468.1,High Physical Support,1,1,0,1
Gosford NSW 2250,"Apartment, 2 bedroom, 1 resident",116468.1,High Physical Support,1,1,0,1
Gosford NSW 2250,"Apartment, 2 bedroom, 1 resident",116468.1,High Physical Support,1,1,0,1
Gosford NSW 2250,"Apartment, 2 bedroom, 1 resident",116468.1,High Physical Support,1,1,0,1
Gosford NSW 2250,"Apartment, 2 bedroom, 1 resident",116468.1,High Physical Support,1,1,0,1
Gosford NSW 2250,"Apartment, 2 bedroom, 1 resident",116468.1,High Physical Support,1,1,0,1
Gosford NSW 2250,"Apartment, 2 bedroom, 1 resident",116468.1,High Physical Support,1,1,0,1
Maroochydore QLD 4558,"Apartment, 2 bedroom, 1 resident",107594.34,High Physical Support,1,1,0,1
Frenchville QLD 4701,"Villa / Duplex / Townhouse, 1 residents",83284.52,High Physical Support,2,1,0,1
Frenchville QLD 4701,"House, 3 residents",66546.24,High Physical Support,1,1,0,1
Andergrove QLD 4740,"House, 3 residents",65900.16,High Physical Support,1,1,0,1
Taylor ACT 2913,"House, 2 residents",83726.74,Robust,1,0,1,1
Armidale NSW 2350,"House, 2 residents",76386.06,High Physical Support,2,0,0,1
Thurgoona NSW 2640,"House, 3 residents",54916.8,High Physical Support,1,1,0,1
Armidale NSW 2350,"Villa / Duplex / Townhouse, 2 residents",42142.5,High Physical Support,2,1,0,1
Rokeby TAS 7019,"House, 2 residents",89262,High Physical Support,2,1,0,1
Higgins ACT 2615,"House, 2 residents",89272.74,Robust,1,0,1,1
Midway Point TAS 7171,"House, 2 residents",89262,High Physical Support,2,1,0,1
Old Beach TAS 7017,"House, 2 residents",89262,High Physical Support,2,1,0,1
Gawler South SA 5118,"House, 2 residents",92790.32,High Physical Support,1,0,0,1
Ashmont NSW 2650,"House, 2 residents",73558.32,Robust,1,0,0,1
Burpengary QLD 4505,"House, 2 residents",79050.69,High Physical Support,1,0,0,1
Greenbank QLD 4124,"House, 3 residents",57231.27,High Physical Support,3,0,0,1
Flinders View QLD 4305,"House, 3 residents",43012.2,Improved Liveability,1,0,0,1
Mount Low QLD 4818,"House, 3 residents",65759,High Physical Support,3,0,0,1
Mount Low QLD 4818,"House, 3 residents",65759,High Physical Support,2,0,0,1
Deception Bay QLD 4508,"House, 2 residents",84268.76,High Physical Support,2,0,0,1
Maroubra NSW 2035,"House, 3 residents",0,Multi Design Category,1,1,0,1
Concord West NSW 2138,"Villa / Duplex / Townhouse, 1 residents",89285.67,Robust,1,1,0,0
Concord West NSW 2138,"Villa / Duplex / Townhouse, 1 residents",89285.67,Robust,1,1,0,0
Concord West NSW 2138,"Villa / Duplex / Townhouse, 3 residents",55788.48,High Physical Support,1,1,0,1
Pagewood NSW 2035,"Villa / Duplex / Townhouse, 1 residents",119679.35,High Physical Support,1,1,0,0
Pagewood NSW 2035,"House, 3 residents",124047.36,High Physical Support,1,1,0,1
Sutherland NSW 2232,"Villa / Duplex / Townhouse, 1 residents",81025.15,High Physical Support,1,1,0,0
Narraweena NSW 2099,"Villa / Duplex / Townhouse, 3 residents",49977.18,High Physical Support,1,1,0,1
Pendle Hill NSW 2145,"Villa / Duplex / Townhouse, 3 residents",42616.2,High Physical Support,1,1,0,1
Pendle Hill NSW 2145,"Villa / Duplex / Townhouse, 1 residents",68417.94,Improved Liveability,1,1,0,0
Pendle Hill NSW 2145,"Villa / Duplex / Townhouse, 1 residents",79538.45,High Physical Support,1,1,0,0
Pendle Hill NSW 2145,"Villa / Duplex / Townhouse, 1 residents",79538.45,High Physical Support,1,1,0,0
Tarneit VIC 3029,"House, 3 residents",62669.76,High Physical Support,3,1,0,1
Clyde North VIC 3978,"House, 3 residents",59439.36,High Physical Support,2,1,0,1
Cranbourne East VIC 3977,"House, 3 residents",59439.36,High Physical Support,1,1,0,1
Doreen VIC 3754,"House, 3 residents",58147.2,High Physical Support,1,1,0,1
Doreen VIC 3754,"House, 3 residents",58147.2,High Physical Support,2,1,0,1
Cragieburn VIC 3064,"House, 3 residents",54270.72,High Physical Support,1,1,0,1
Wollert VIC 3750,"House, 3 residents",58147.2,High Physical Support,1,1,0,1
Wyndham Vale VIC 3024,"House, 3 residents",62669.76,High Physical Support,2,1,0,1
Craigieburn VIC 3064,"House, 3 residents",54270.72,High Physical Support,3,1,0,1
Tarneit VIC 3029,"House, 3 residents",62669.76,High Physical Support,2,1,0,1
Roxburgh Park VIC 3064,"House, 3 residents",54270.72,High Physical Support,1,1,0,1
Melton West VIC 3337,"House, 3 residents",62669.76,High Physical Support,2,1,0,1
Melton West VIC 3337,"House, 3 residents",62669.76,High Physical Support,3,1,0,1
Clyde North VIC 3978,"House, 3 residents",47108.6,Improved Liveability,1,0,0,1
Tarneit VIC 3029,"House, 3 residents",49668.85,Improved Liveability,1,0,0,1
Meadow Springs WA 6210,"House, 3 residents",58147.2,High Physical Support,2,1,0,1
Lilydale VIC 3140,"House, 3 residents",56855.04,High Physical Support,1,1,0,1
Mount Duneed VIC 3217,"House, 3 residents",56615.88,High Physical Support,2,0,0,1
Thornhill Park VIC 3335,"House, 2 residents",86398.87,Robust,2,0,1,1
Truganina VIC 3029,"House, 3 residents",59692.83,High Physical Support,2,0,0,1
Wyndham Vale VIC 3024,"House, 3 residents",66943.58,High Physical Support,2,1,0,1
Mount Duneed VIC 3217,"House, 3 residents",60498.28,High Physical Support,2,0,0,1
Clyde VIC 3978,"House, 3 residents",63492.88,High Physical Support,3,1,0,1
Fraser Rise VIC 3336,"House, 3 residents",66943.58,High Physical Support,2,1,0,1
Officer VIC 3809,"House, 2 residents",85622.56,High Physical Support,1,1,0,1
Cranbourne East VIC 3977,"House, 2 residents",85622.56,High Physical Support,1,1,0,1
Clyde North VIC 3978,"House, 2 residents",85622.56,High Physical Support,2,1,0,1
Darley VIC 3340,"House, 2 residents",96204.6,High Physical Support,2,1,0,1
Tarneit VIC 3029,"House, 3 residents",63786.23,High Physical Support,1,0,0,1
Clyde VIC 3978,"House, 2 residents",81715.32,High Physical Support,2,0,0,1
Alfredton VIC 3350,"House, 2 residents",74609.64,High Physical Support,2,0,0,1
Armstrong Creek VIC 3217,"House, 2 residents",92237.4,High Physical Support,1,1,0,1
Clyde VIC 3978,"House, 2 residents",85622.56,High Physical Support,2,1,0,1
Weir Views VIC 3338,"House, 3 residents",59692.83,High Physical Support,2,0,0,1
Doreen VIC 3794,"Villa / Duplex / Townhouse, 1 residents",69131.55,High Physical Support,1,1,0,0
Doreen VIC 3794,"House, 2 residents",83761.2,High Physical Support,1,1,0,1
Charlemont VIC 3217,"House, 3 residents",59439.36,High Physical Support,2,1,0,1
Armstrong Creek VIC 3217,"House, 2 residents",92237.4,High Physical Support,1,1,0,1
Belmont VIC 3216,"House, 3 residents",63492.88,High Physical Support,1,1,0,1
Colac VIC 3250,"House, 3 residents",58661.9,High Physical Support,3,1,0,1
Charlemont VIC 3217,"House, 2 residents",86553.24,High Physical Support,2,1,0,1
Charlemont VIC 3217,"Villa / Duplex / Townhouse, 1 residents",73944.2,High Physical Support,2,1,0,1
Charlemont VIC 3217,"House, 2 residents",92237.4,High Physical Support,1,1,0,1
Beveridge VIC 3753,"House, 2 residents",80163.9,Robust,2,0,1,1
Doreen VIC 3754,"House, 2 residents",83761.2,High Physical Support,1,1,0,1
Mernda VIC 3754,"House, 2 residents",68247,Fully Accessible,2,0,0,1
Lucas VIC 3350,"House, 2 residents",63697.2,Fully Accessible,2,0,0,1
Shepparton VIC 3630,"House, 3 residents",57281.62,High Physical Support,2,1,0,1
Wyndham Vale VIC 3024,"House, 2 residents",86340.67,Robust,2,0,0,1
Diggers Rest VIC 3427,"House, 2 residents",78177.12,High Physical Support,1,1,0,1
Sunbury VIC 3429,"House, 3 residents",57971.76,High Physical Support,3,1,0,1
Winter Valley VIC 3358,"House, 2 residents",62401.92,Improved Liveability,2,0,0,1
Lara VIC 3212,"House, 2 residents",86553.24,High Physical Support,1,1,0,1
Coopers Plains QLD 4108,"Legacy Stock, 6+ residents",4097.38,Improved Liveability,2,1,0,1
Kirwan QLD 4817,"Group home, 5 residents",6291.24,Basic,1,1,0,0
Tinana QLD 4650,"House, 3 residents",12491.15,Fully Accessible,1,1,0,1
Tinana QLD 4650,"House, 3 residents",12491.15,Fully Accessible,1,1,0,1
White Rock QLD 4868,"Group home, 4 residents",14276.83,Fully Accessible,1,1,0,1
White Rock QLD 4868,"Group home, 4 residents",14276.83,Fully Accessible,1,1,0,1
Gladstone QLD 4680,"Group home, 4 residents",14276.83,Fully Accessible,2,1,0,1
Redbank Plains QLD 4301,"Group home, 4 residents",6749.28,Improved Liveability,1,1,0,0
Redbank QLD 4301,"House, 3 residents",7229.7,Improved Liveability,1,1,0,1
Buderim QLD 4556,"Legacy Stock, 6+ residents",1524.57,Improved Liveability,1,1,0,1
Northgate QLD 4013,"Group home, 5 residents",6468.14,Improved Liveability,1,1,0,1
Kirwan QLD 4817,"Legacy Stock, 6+ residents",4306.43,Improved Liveability,1,1,0,1
White Rock QLD 4868,"Group home, 4 residents",44105.9,Fully Accessible,1,1,0,1
Allingham QLD 4850,"Group home, 4 residents",8919.04,Improved Liveability,1,1,0,1
