Location,Building Type,Max Price Per Room,SDA Design Category,Vacancy,Has Fire Sprinklers,Has Breakout Room,Onsite Overnight Assistance
Christie Downs SA 5164,"House, 3 residents",60923.61,High Physical Support,3,0,0,1
Morphett Vale SA 5162,"House, 3 residents",60923.61,High Physical Support,2,0,0,1
Tregear NSW 2770,"Group home, 5 residents",45039.12,High Physical Support,6,1,0,1
Pimpana QLD 4209,"House, 3 residents",47216.7,Fully Accessible,1,0,0,1
Pimpama QLD 4209,"House, 3 residents",47216.7,Fully Accessible,1,0,0,1
Mount Louisa QLD 4814,"House, 3 residents",65759,High Physical Support,3,0,0,1
Ottoway SA 5013,"House, 2 residents",83507.86,Improved Liveability,1,0,0,1
Wallan VIC 3756,"House, 3 residents",59183.1,High Physical Support,2,0,0,1
Mango Hill QLD 4509,"House, 3 residents",54769.71,High Physical Support,3,0,0,1
Warwick QLD 4370,"House, 2 residents",75497.85,High Physical Support,2,0,0,1
Warwick QLD 4370,"House, 2 residents",75497.85,High Physical Support,3,0,0,1
Bellbird NSW 2325,"House, 2 residents",79273.19,Robust,1,0,1,1
Charlemont VIC 3217,"House, 2 residents",86553.24,High Physical Support,2,1,0,1
Salisbury SA 5108,"Apartment, 2 bedroom, 1 resident",123123.42,High Physical Support,1,1,0,1
Dandenong VIC 3175,"Apartment, 2 bedroom, 2 resident",47891.81,High Physical Support,1,1,0,1
Dandenong VIC 3175,"Apartment, 2 bedroom, 2 resident",47891.81,High Physical Support,1,1,0,1
Dandenong VIC 3175,"Apartment, 2 bedroom, 2 resident",47891.81,High Physical Support,1,1,0,1
Gawler SA 5118,"House, 2 residents",92790.32,High Physical Support,1,0,0,1
Morphett Vale SA 5162,"House, 2 residents",98188.2,High Physical Support,2,1,0,1
Morphett Vale SA 5162,"House, 2 residents",98188.2,High Physical Support,1,1,0,1
Morphett Vale SA 5162,"House, 2 residents",98188.2,High Physical Support,2,1,0,1
Morphett Vale SA 5162,"House, 2 residents",98188.2,High Physical Support,1,1,0,1
Port Macquarie NSW 2444,"House, 2 residents",89262,High Physical Support,1,1,0,1
Port Macquarie NSW 2444,"House, 2 residents",89262,High Physical Support,1,1,0,1
Wyong NSW 2259,"House, 3 residents",69014,High Physical Support,1,1,0,1
Seacombe Gardens SA 5047,"House, 2 residents",98188.2,High Physical Support,2,1,0,1
Blakeview SA 5114,"House, 2 residents",97196.4,High Physical Support,1,1,0,1
Christie Downs SA 5164,"House, 2 residents",98188.2,High Physical Support,2,1,0,1
Ingle Farm SA 5098,"House, 2 residents",97196.4,High Physical Support,2,1,0,1
